DRUG_CODE_ID,DESCRIPTION,BNF1,BNF2,BNF3,ATC,DATABASE
85,Prochlorperazine 5mg tablets Prochlorperazine maleate 5mg Tablet Oral,04020101,04065400,null,null,CPRD_GOLD
455,Metoclopramide 10mg tablets Metoclopramide hydrochloride 10mg Tablet Oral,04065500,null,null,null,CPRD_GOLD
646,Cyclizine 50mg tablets Cyclizine hydrochloride 50mg Tablet Oral,04060000,04065100,04065200,null,CPRD_GOLD
3494,Promethazine hydrochloride 25mg tablets Promethazine hydrochloride 25mg Tablet Oral,04010100,04065400,null,null,CPRD_GOLD
588,Chlorpromazine 25mg tablets Chlorpromazine hydrochloride 25mg Tablet Oral,04020101,null,null,null,CPRD_GOLD
3348,Chlorpromazine 50mg tablets Chlorpromazine hydrochloride 50mg Tablet Oral,04020101,null,null,null,CPRD_GOLD
4769,Prochlorperazine 3mg buccal tablets Prochlorperazine maleate 3mg Buccal tablet Buccal,04065400,null,null,null,CPRD_GOLD
5561,Promethazine hydrochloride 10mg tablets Promethazine hydrochloride 10mg Tablet Oral,03040102,04010100,04065400,null,CPRD_GOLD
1998,Promethazine 5mg/5ml oral solution sugar free Promethazine hydrochloride 1mg/1ml Oral solution Oral,03040102,04010100,04065400,null,CPRD_GOLD
1610,Phenergan 5mg/5ml elixir (Sanofi) Promethazine hydrochloride 1mg/1ml Oral solution Oral,03040102,04010100,04065400,null,CPRD_GOLD
2474,Chlorpromazine 10mg tablets Chlorpromazine hydrochloride 10mg Tablet Oral,04020101,null,null,null,CPRD_GOLD
3246,Stemetil 12.5mg/ml Injection (Castlemead Healthcare Ltd) Prochlorperazine Mesilate 12.5mg/ml Injection Intramuscular Deep Injection,04020100,40120000,null,null,CPRD_GOLD
2814,Largactil 25mg Tablet (Hawgreen Ltd) Chlorpromazine hydrochloride 25mg Tablet Oral,04020100,40120000,null,null,CPRD_GOLD
405,Metoclopramide 15mg modified-release capsules Metoclopramide hydrochloride 15mg Modified-release capsule Oral,00000000,null,null,null,CPRD_GOLD
35046,Metoclopramide 10mg/2ml solution for injection ampoules Metoclopramide hydrochloride 5mg/1ml Solution for injection Intravenous/Intramuscular,04065500,null,null,null,CPRD_GOLD
