DRUG_CODE_ID,DESCRIPTION,BNF1,BNF2,BNF3,ATC,DATABASE
43950,Humulin I KwikPen 100units/ml suspension for injection 3ml pre-filled pens (Eli Lilly and Company Ltd) Insulin isophane human 100unit/1ml Suspension for injection Intramuscular/Subcutaneous,06010102,null,null,null,CPRD_GOLD
1592,Actrapid penfill 100 100iu/ml Penfill (Novo Nordisk Ltd) Insulin Soluble Human 100iu/ml Penfill Subcutaneous Injection,06010101,06010300,null,null,CPRD_GOLD
4163,Rapitard MC 100unit/ml Injection (Novo Nordisk Ltd) Insulin Soluble Porcine/Insulin 100unit/ml Injection ,06010102,null,null,null,CPRD_GOLD
28588,Hypurin Bovine Isophane 100units/ml suspension for injection 3ml cartridges (Wockhardt UK Ltd) Insulin isophane bovine 100unit/1ml Suspension for injection Intramuscular/Subcutaneous,06010102,null,null,null,CPRD_GOLD
36031,Insulin isophane biphasic porcine 30/70 100units/ml suspension for injection 3ml cartridges Insulin isophane porcine/Insulin soluble porcine 70unit/1ml + 30unit/1ml Suspension for injection Intramuscular/Subcutaneous,06010151,null,null,null,CPRD_GOLD
7400,Insulin glargine 100units/ml solution for injection 3ml pre-filled disposable devices Insulin glargine 100unit/1ml Solution for injection Subcutaneous,06010102,null,null,null,CPRD_GOLD
41120,Insulin isophane biphasic human 50/50 100units/ml suspension for injection 3ml pre-filled disposable devices Insulin soluble human/Insulin isophane human 50unit/1ml + 50unit/1ml Suspension for injection Subcutaneous,06010151,null,null,null,CPRD_GOLD
13622,Hypurin porcine neutral 100unit/ml Injection (C P Pharmaceuticals Ltd) Insulin soluble porcine 100unit/1ml Solution for injection Subcutaneous/Intravenous/Intramuscular,06010101,06010300,null,null,CPRD_GOLD
5953,Insulin glargine 100iu/ml Injection Insulin Glargine 100iu/ml Injection ,06010102,null,null,null,CPRD_GOLD
10277,Humulin M3 100units/ml suspension for injection 3ml cartridges (Eli Lilly and Company Ltd) Insulin soluble human/Insulin isophane human 30unit/1ml + 70unit/1ml Suspension for injection Subcutaneous,06010151,null,null,null,CPRD_GOLD
18224,Humalog 100units/ml solution for injection 10ml vials (Eli Lilly and Company Ltd) Insulin lispro 100unit/1ml Solution for injection Intramuscular/Intravenous/Subcutaneous,06010101,null,null,null,CPRD_GOLD
53710,Insulin human 500units/ml solution for injection 20ml vials Insulin human 500unit/1ml Solution for injection Subcutaneous,06010100,null,null,null,CPRD_GOLD
55687,Insulin degludec 100units/ml solution for injection 3ml pre-filled disposable devices Insulin degludec 100unit/1ml Solution for injection Subcutaneous,06010102,null,null,null,CPRD_GOLD
22945,Insuman rapid 100iu/ml Injection (Aventis Pharma) Insulin Soluble Human 100iu/ml Injection Subcutaneous Injection,06010101,06010300,null,null,CPRD_GOLD
10207,Insulin isophane human 100units/ml suspension for injection 3ml cartridges Insulin isophane human 100unit/1ml Suspension for injection Subcutaneous,06010102,null,null,null,CPRD_GOLD
14928,Insulatard 100units/ml suspension for injection 10ml vials (Novo Nordisk Ltd) Insulin isophane human 100unit/1ml Suspension for injection Subcutaneous,06010102,null,null,null,CPRD_GOLD
27280,Insulin isophane biphasic porcine 30/70 100units/ml suspension for injection 10ml vials Insulin soluble porcine/Insulin isophane porcine 30unit/1ml + 70unit/1ml Suspension for injection Intramuscular/Subcutaneous,06010151,null,null,null,CPRD_GOLD
29953,Apidra 100units/ml solution for injection 3ml OptiClik cartridges (Sanofi) Insulin glulisine 100unit/1ml Solution for injection Subcutaneous,06010101,null,null,null,CPRD_GOLD
10225,Lantus 100units/ml solution for injection 3ml OptiClik cartridges (Sanofi) Insulin glargine 100unit/1ml Solution for injection Subcutaneous,06010102,null,null,null,CPRD_GOLD
30236,Isophane insulin 100iu/ml Injection Insulin Isophane Bovine 100iu/ml Injection ,06010102,null,null,null,CPRD_GOLD
10910,Humaject m2 100iu/ml M2 pen (Eli Lilly and Company Ltd) Insulin Soluble Human/Insulin Isophane Human 100iu/ml M2 Pen Subcutaneous Injection,06010102,null,null,null,CPRD_GOLD
2221,Mixtard 30 NovoLet 100units/ml suspension for injection (Novo Nordisk Ltd) Insulin soluble human/Insulin isophane human 30unit/1ml + 70unit/1ml Suspension for injection Intramuscular/Subcutaneous,06010151,null,null,null,CPRD_GOLD
