DRUG_CODE_ID,DESCRIPTION,BNF1,BNF2,BNF3,ATC,DATABASE
8807,Trandate 400mg tablets (RPH Pharmaceuticals AB) Labetalol hydrochloride 400mg Tablet Oral,02040000,null,null,null,CPRD_GOLD
35778,Labrocol 100mg Tablet (Lagap) Labetalol hydrochloride 100mg Tablet Oral,02040000,null,null,null,CPRD_GOLD
40240,Labetalol 400mg tablets (A A H Pharmaceuticals Ltd) Labetalol hydrochloride 400mg Tablet Oral,02040000,null,null,null,CPRD_GOLD
34177,Labetalol 100mg tablets (A A H Pharmaceuticals Ltd) Labetalol hydrochloride 100mg Tablet Oral,02040000,null,null,null,CPRD_GOLD
77958,Labetalol 50mg/5ml oral suspension Labetalol hydrochloride 10mg/1ml Oral suspension Oral,02040000,null,null,null,CPRD_GOLD
1295,Labetalol 400mg tablets Labetalol hydrochloride 400mg Tablet Oral,02040000,null,null,null,CPRD_GOLD
63736,Labetalol 100mg tablets (Waymade Healthcare Plc) Labetalol hydrochloride 100mg Tablet Oral,02040000,null,null,null,CPRD_GOLD
62638,Labetalol 100mg tablets (Actavis UK Ltd) Labetalol hydrochloride 100mg Tablet Oral,02040000,null,null,null,CPRD_GOLD
59222,Labetalol 100mg/20ml solution for injection ampoules (RPH Pharmaceuticals AB) Labetalol hydrochloride 5mg/1ml Solution for injection Intravenous,02040000,null,null,null,CPRD_GOLD
1597,Labetalol 100mg tablets Labetalol hydrochloride 100mg Tablet Oral,02040000,null,null,null,CPRD_GOLD
41827,Labetalol 100mg tablets (Mylan) Labetalol hydrochloride 100mg Tablet Oral,02040000,null,null,null,CPRD_GOLD
34188,Labetalol 200mg Tablet (Celltech Pharma Europe Ltd) Labetalol hydrochloride 200mg Tablet Oral,02040000,null,null,null,CPRD_GOLD
78160,Labetalol 100mg Tablet (Approved Prescription Services Ltd) Labetalol hydrochloride 100mg Tablet Oral,02040000,null,null,null,CPRD_GOLD
47674,Labetalol 200mg Tablet (C P Pharmaceuticals Ltd) Labetalol hydrochloride 200mg Tablet Oral,02040000,null,null,null,CPRD_GOLD
19068,Labetalol 50mg/10ml solution for injection pre-filled syringes Labetalol hydrochloride 5mg/1ml Solution for injection Intravenous,00000000,null,null,null,CPRD_GOLD
4725,Labetalol 50mg tablets Labetalol hydrochloride 50mg Tablet Oral,02040000,null,null,null,CPRD_GOLD
45250,Labetalol 400mg tablets (Sandoz Ltd) Labetalol hydrochloride 400mg Tablet Oral,02040000,null,null,null,CPRD_GOLD
47673,Labetalol 400mg Tablet (Approved Prescription Services Ltd) Labetalol hydrochloride 400mg Tablet Oral,02040000,null,null,null,CPRD_GOLD
38370,Labetalol 100mg/20ml solution for injection ampoules Labetalol hydrochloride 5mg/1ml Solution for injection Intravenous,02040000,null,null,null,CPRD_GOLD
8707,Trandate 200mg tablets (RPH Pharmaceuticals AB) Labetalol hydrochloride 200mg Tablet Oral,02040000,null,null,null,CPRD_GOLD
75179,Labetalol 200mg tablets (Mylan) Labetalol hydrochloride 200mg Tablet Oral,02040000,null,null,null,CPRD_GOLD
22793,Labrocol 200mg Tablet (Lagap) Labetalol hydrochloride 200mg Tablet Oral,02040000,null,null,null,CPRD_GOLD
72514,Labetalol 1.5mg/5ml oral solution Labetalol hydrochloride 300microgram/1ml Oral solution Oral,02040000,null,null,null,CPRD_GOLD
2775,Labetalol 200mg tablets Labetalol hydrochloride 200mg Tablet Oral,02040000,null,null,null,CPRD_GOLD
7491,LABETALOL TAB    ,00000000,null,null,null,CPRD_GOLD
34171,Labetalol 100mg Tablet (C P Pharmaceuticals Ltd) Labetalol hydrochloride 100mg Tablet Oral,02040000,null,null,null,CPRD_GOLD
30770,Labetalol 200mg tablets (A A H Pharmaceuticals Ltd) Labetalol hydrochloride 200mg Tablet Oral,02040000,null,null,null,CPRD_GOLD
9016,Trandate 100mg tablets (RPH Pharmaceuticals AB) Labetalol hydrochloride 100mg Tablet Oral,02040000,null,null,null,CPRD_GOLD
44083,Labetalol 200mg tablets (Actavis UK Ltd) Labetalol hydrochloride 200mg Tablet Oral,02040000,null,null,null,CPRD_GOLD
19998,Trandate 100mg/20ml solution for injection ampoules (Focus Pharmaceuticals Ltd) Labetalol hydrochloride 5mg/1ml Solution for injection Intravenous,02040000,null,null,null,CPRD_GOLD
16645,Labrocol 400mg Tablet (Lagap) Labetalol hydrochloride 400mg Tablet Oral,02040000,null,null,null,CPRD_GOLD
78158,Labetalol 100mg Tablet (IVAX Pharmaceuticals UK Ltd) Labetalol hydrochloride 100mg Tablet Oral,02040000,null,null,null,CPRD_GOLD
9273,Trandate 50mg tablets (RPH Pharmaceuticals AB) Labetalol hydrochloride 50mg Tablet Oral,02040000,null,null,null,CPRD_GOLD
81607,Labetalol 200mg Tablet (Approved Prescription Services Ltd)Labetalol hydrochloride200mgTabletOral ,02040000,null,null,null,CPRD_GOLD
