DRUG_CODE_ID,DESCRIPTION,BNF1,BNF2,BNF3,ATC,DATABASE
74860,NovoNorm 1mg tablets (Waymade Healthcare Plc) Repaglinide 1mg Tablet Oral,06010208,null,null,null,CPRD_GOLD
9865,Repaglinide 500microgram tablets Repaglinide 500microgram Tablet Oral,06010208,null,null,null,CPRD_GOLD
9707,Repaglinide 1mg tablets Repaglinide 1mg Tablet Oral,06010208,null,null,null,CPRD_GOLD
15955,Starlix 120mg tablets (Novartis Pharmaceuticals UK Ltd) Nateglinide 120mg Tablet Oral,06010208,null,null,null,CPRD_GOLD
27125,Starlix 180mg tablets (Novartis Pharmaceuticals UK Ltd) Nateglinide 180mg Tablet Oral,06010208,null,null,null,CPRD_GOLD
5678,Nateglinide 120mg tablets Nateglinide 120mg Tablet Oral,06010208,null,null,null,CPRD_GOLD
61925,NovoNorm 500microgram tablets (Waymade Healthcare Plc) Repaglinide 500microgram Tablet Oral,06010208,null,null,null,CPRD_GOLD
11321,NovoNorm 1mg tablets (Novo Nordisk Ltd) Repaglinide 1mg Tablet Oral,06010208,null,null,null,CPRD_GOLD
11483,Nateglinide 60mg tablets Nateglinide 60mg Tablet Oral,06010208,null,null,null,CPRD_GOLD
5989,Nateglinide 180mg tablets Nateglinide 180mg Tablet Oral,06010208,null,null,null,CPRD_GOLD
36774,Prandin 1mg tablets (Novo Nordisk Ltd) Repaglinide 1mg Tablet Oral,06010208,null,null,null,CPRD_GOLD
11366,NovoNorm 2mg tablets (Novo Nordisk Ltd) Repaglinide 2mg Tablet Oral,06010208,null,null,null,CPRD_GOLD
23945,Starlix 60mg tablets (Novartis Pharmaceuticals UK Ltd) Nateglinide 60mg Tablet Oral,06010208,null,null,null,CPRD_GOLD
11316,NovoNorm 500microgram tablets (Novo Nordisk Ltd) Repaglinide 500microgram Tablet Oral,06010208,null,null,null,CPRD_GOLD
9748,Repaglinide 2mg tablets Repaglinide 2mg Tablet Oral,06010208,null,null,null,CPRD_GOLD
52203,Enyglid 0.5mg tablets (Consilient Health Ltd) Repaglinide 500microgram Tablet Oral,06010208,null,null,null,CPRD_GOLD
35561,Prandin 2mg tablets (Novo Nordisk Ltd) Repaglinide 2mg Tablet Oral,06010208,null,null,null,CPRD_GOLD
36948,Prandin 0.5mg tablets (Novo Nordisk Ltd) Repaglinide 500microgram Tablet Oral,06010208,null,null,null,CPRD_GOLD
