DRUG_CODE_ID,DESCRIPTION,BNF1,BNF2,BNF3,ATC,DATABASE
24196,Dopamet 250mg Tablet (Berk Pharmaceuticals Ltd) Methyldopa anhydrous 250mg Tablet Oral,02050200,null,null,null,CPRD_GOLD
3070,Methyldopa 500mg tablets Methyldopa anhydrous 500mg Tablet Oral,02050200,null,null,null,CPRD_GOLD
32913,Methyldopa 250mg tablets (Accord Healthcare Ltd) Methyldopa anhydrous 250mg Tablet Oral,02050200,null,null,null,CPRD_GOLD
2649,METHYLDOPA 250 MG CAP    ,00000000,null,null,null,CPRD_GOLD
43989,Aldomet 500mg tablets (Aspen Pharma Trading Ltd) Methyldopa anhydrous 500mg Tablet Oral,02050200,null,null,null,CPRD_GOLD
28738,Methyldopa with hydrochlorothiazide Tablet Hydrochlorothiazide/Methyldopa Anhydrous  Tablet Oral,02050200,null,null,null,CPRD_GOLD
71110,Aldomet 500mg tablets (Sigma Pharmaceuticals Plc) Methyldopa anhydrous 500mg Tablet Oral,02050200,null,null,null,CPRD_GOLD
62513,Methyldopa 250mg tablets (Sovereign Medical Ltd) Methyldopa anhydrous 250mg Tablet Oral,02050200,null,null,null,CPRD_GOLD
43988,Aldomet 250mg tablets (Aspen Pharma Trading Ltd) Methyldopa anhydrous 250mg Tablet Oral,02050200,null,null,null,CPRD_GOLD
7642,Aldomet 500mg Tablet (Merck Sharp & Dohme Ltd) Methyldopa anhydrous 500mg Tablet Oral,02050200,null,null,null,CPRD_GOLD
8033,Aldomet 125mg Tablet (Merck Sharp & Dohme Ltd) Methyldopa anhydrous 125mg Tablet Oral,02050200,null,null,null,CPRD_GOLD
1707,Methyldopa 250mg tablets Methyldopa anhydrous 250mg Tablet Oral,02050200,null,null,null,CPRD_GOLD
78159,Methyldopa 250mg Tablet (Approved Prescription Services Ltd) Methyldopa anhydrous 250mg Tablet Oral,02050200,null,null,null,CPRD_GOLD
25275,Metalpha 500mg Tablet (Ashbourne Pharmaceuticals Ltd) Methyldopa anhydrous 500mg Tablet Oral,02050200,null,null,null,CPRD_GOLD
29570,Dopamet 125mg Tablet (Berk Pharmaceuticals Ltd) Methyldopa anhydrous 125mg Tablet Oral,02050200,null,null,null,CPRD_GOLD
9225,Methyldopa 250mg Capsule Methyldopa Anhydrous 250mg Capsule Oral,02050200,null,null,null,CPRD_GOLD
41661,Methyldopa 250mg Tablet (C P Pharmaceuticals Ltd) Methyldopa anhydrous 250mg Tablet Oral,02050200,null,null,null,CPRD_GOLD
21346,Hydromet Tablet (MSD Thomas Morson Pharmaceuticals) Hydrochlorothiazide/Methyldopa Anhydrous  Tablet Oral,02050200,null,null,null,CPRD_GOLD
72819,Methyldopa 250mg tablets (Phoenix Healthcare Distribution Ltd) Methyldopa anhydrous 250mg Tablet Oral,02050200,null,null,null,CPRD_GOLD
7416,Aldomet 50mg/ml Injection (Merck Sharp & Dohme Ltd) Methyldopate Hydrochloride 50mg/ml Injection Intravenous Injection,02050200,null,null,null,CPRD_GOLD
7626,Aldomet 250mg Tablet (Merck Sharp & Dohme Ltd) Methyldopa anhydrous 250mg Tablet Oral,02050200,null,null,null,CPRD_GOLD
73640,Methyldopa 250mg tablets (Sandoz Ltd) Methyldopa anhydrous 250mg Tablet Oral,02050200,null,null,null,CPRD_GOLD
26919,Methyldopa 50mg/ml Injection Methyldopate Hydrochloride 50mg/ml Injection ,02050200,null,null,null,CPRD_GOLD
78157,Methyldopa 125mg Tablet (C P Pharmaceuticals Ltd) Methyldopa anhydrous 125mg Tablet Oral,02050200,null,null,null,CPRD_GOLD
14390,Aldomet 250mg/5ml Liquid (Merck Sharp & Dohme Ltd) Methyldopa anhydrous 50mg/1ml Oral suspension Oral,02050200,null,null,null,CPRD_GOLD
78162,Methyldopa 125mg tablets (Actavis UK Ltd) Methyldopa anhydrous 125mg Tablet Oral,02050200,null,null,null,CPRD_GOLD
25836,METHYLDOPA 200 MG TAB    ,00000000,null,null,null,CPRD_GOLD
25289,Dopamet 500mg Tablet (Berk Pharmaceuticals Ltd) Methyldopa anhydrous 500mg Tablet Oral,02050200,null,null,null,CPRD_GOLD
77825,Methyldopa 250mg tablets (A A H Pharmaceuticals Ltd) Methyldopa anhydrous 250mg Tablet Oral,02050200,null,null,null,CPRD_GOLD
78897,Methyldopa 250mg tablets (Bristol Laboratories Ltd) Methyldopa anhydrous 250mg Tablet Oral,02050200,null,null,null,CPRD_GOLD
23761,Methyldopa 250mg/5ml oral suspension Methyldopa anhydrous 50mg/1ml Oral suspension Oral,02050200,null,null,null,CPRD_GOLD
3049,Methyldopa 125mg tablets Methyldopa anhydrous 125mg Tablet Oral,02050200,null,null,null,CPRD_GOLD
71385,Aldomet 250mg tablets (Sigma Pharmaceuticals Plc) Methyldopa anhydrous 250mg Tablet Oral,02050200,null,null,null,CPRD_GOLD
18252,Metalpha 250mg Tablet (Ashbourne Pharmaceuticals Ltd) Methyldopa anhydrous 250mg Tablet Oral,02050200,null,null,null,CPRD_GOLD
82419,Methyldopa 250mg tablets (Genesis Pharmaceuticals Ltd)Methyldopa anhydrous250mgTabletOral ,02050200,null,null,null,CPRD_GOLD
