DRUG_CODE_ID,DESCRIPTION,BNF1,BNF2,BNF3,ATC,DATABASE
1854,Adalat la 30mg Tablet (Bayer Plc) Nifedipine 30mg Tablet Oral,02060200,null,null,null,CPRD_GOLD
1262,Nifedipine 12 20mg Modified-release tablet Nifedipine 20mg Modified-Release Tablet Oral,02060200,null,null,null,CPRD_GOLD
2343,Adalat retard 20mg tablets (Bayer Plc) Nifedipine 20mg Modified-release tablet Oral,02060200,null,null,null,CPRD_GOLD
410,Nifedipine 10mg modified-release tablets Nifedipine 10mg Modified-release tablet Oral,02060200,null,null,null,CPRD_GOLD
4227,Adalat la 60mg Tablet (Bayer Plc) Nifedipine 60mg Modified-release tablet Oral,02060200,null,null,null,CPRD_GOLD
541,Adalat LA 20mg tablets (Bayer Plc) Nifedipine 20mg Modified-release tablet Oral,02060200,null,null,null,CPRD_GOLD
3712,Coracten XL 30mg capsules (UCB Pharma Ltd) Nifedipine 30mg Modified-release capsule Oral,02060200,null,null,null,CPRD_GOLD
43753,Adalat LA 30mg tablets (Bayer Plc) Nifedipine 30mg Modified-release tablet Oral,02060200,null,null,null,CPRD_GOLD
737,Nifedipine 20mg modified-release capsules Nifedipine 20mg Modified-release capsule Oral,02060200,null,null,null,CPRD_GOLD
3711,Adipine MR 20 tablets (Chiesi Ltd) Nifedipine 20mg Modified-release tablet Oral,02060200,null,null,null,CPRD_GOLD
2605,Nifedipine 10mg modified-release capsules Nifedipine 10mg Modified-release capsule Oral,02060200,null,null,null,CPRD_GOLD
4856,Coracten SR 20mg capsules (UCB Pharma Ltd) Nifedipine 20mg Modified-release capsule Oral,02060200,null,null,null,CPRD_GOLD
2746,Coracten SR 10mg capsules (UCB Pharma Ltd) Nifedipine 10mg Modified-release capsule Oral,02060200,null,null,null,CPRD_GOLD
5806,Tensipine MR 20 tablets (Genus Pharmaceuticals Ltd) Nifedipine 20mg Modified-release tablet Oral,02060200,null,null,null,CPRD_GOLD
13672,Angiopine MR 10mg tablets (Ashbourne Pharmaceuticals Ltd) Nifedipine 10mg Modified-release tablet Oral,02060200,null,null,null,CPRD_GOLD
25055,NIFEDIPINE    ,00000000,null,null,null,CPRD_GOLD
