DRUG_CODE_ID,DESCRIPTION,BNF1,BNF2,BNF3,ATC,DATABASE
1294,Doxazosin 4mg tablets Doxazosin mesilate 4mg Tablet Oral,02050400,07040150,null,null,CPRD_GOLD
493,Doxazosin 2mg tablets Doxazosin mesilate 2mg Tablet Oral,02050400,07040150,null,null,CPRD_GOLD
119,Doxazosin 1mg tablets Doxazosin mesilate 1mg Tablet Oral,02050400,07040150,null,null,CPRD_GOLD
5496,Doxazosin 8mg modified-release tablets Doxazosin mesilate 8mg Modified-release tablet Oral,02050400,07040150,null,null,CPRD_GOLD
582,Doxazosin 4mg modified-release tablets Doxazosin mesilate 4mg Modified-release tablet Oral,02050400,07040150,null,null,CPRD_GOLD
5618,Cardura XL 8mg tablets (Upjohn UK Ltd) Doxazosin mesilate 8mg Modified-release tablet Oral,02050400,07040150,null,null,CPRD_GOLD
4802,Cardura 2mg tablets (Upjohn UK Ltd) Doxazosin mesilate 2mg Tablet Oral,02050400,07040150,null,null,CPRD_GOLD
53033,Doxzogen XL 4mg tablets (Mylan) Doxazosin mesilate 4mg Modified-release tablet Oral,02050400,07040150,null,null,CPRD_GOLD
71405,Cardura XL 4mg tablets (DE Pharmaceuticals) Doxazosin mesilate 4mg Modified-release tablet Oral,02050400,07040150,null,null,CPRD_GOLD
61066,Doxazosin 2mg tablets (Bristol Laboratories Ltd) Doxazosin mesilate 2mg Tablet Oral,02050400,07040150,null,null,CPRD_GOLD
73116,Doxazosin 2mg tablets (Sovereign Medical Ltd) Doxazosin mesilate 2mg Tablet Oral,02050400,07040150,null,null,CPRD_GOLD
61283,Doxazosin 4mg tablets (Alliance Healthcare (Distribution) Ltd) Doxazosin mesilate 4mg Tablet Oral,02050400,07040150,null,null,CPRD_GOLD
47807,Doxazosin xl 4mg Tablet (Hillcross Pharmaceuticals Ltd) Doxazosin mesilate 4mg Modified-release tablet Oral,02050400,07040150,null,null,CPRD_GOLD
4449,Cardura 1mg tablets (Upjohn UK Ltd) Doxazosin mesilate 1mg Tablet Oral,02050400,07040150,null,null,CPRD_GOLD
78627,Doxazosin 1mg tablets (Phoenix Healthcare Distribution Ltd) Doxazosin mesilate 1mg Tablet Oral,02050400,07040150,null,null,CPRD_GOLD
53322,Doxazosin 4mg tablets (Bristol Laboratories Ltd) Doxazosin mesilate 4mg Tablet Oral,02050400,07040150,null,null,CPRD_GOLD
63158,Doxazosin 2mg tablets (Almus Pharmaceuticals Ltd) Doxazosin mesilate 2mg Tablet Oral,02050400,07040150,null,null,CPRD_GOLD
35603,Doxazosin 4mg/5ml oral suspension Doxazosin mesilate 800microgram/1ml Oral suspension Oral,02050400,07040150,null,null,CPRD_GOLD
38461,Cardozin XL 4mg tablets (Arrow Generics Ltd) Doxazosin mesilate 4mg Modified-release tablet Oral,02050400,07040150,null,null,CPRD_GOLD
78247,Doxazosin 2mg tablets (Aurobindo Pharma Ltd) Doxazosin mesilate 2mg Tablet Oral,02050400,07040150,null,null,CPRD_GOLD
46066,Cardozin XL 4mg tablets (Almus Pharmaceuticals Ltd) Doxazosin mesilate 4mg Modified-release tablet Oral,02050400,07040150,null,null,CPRD_GOLD
58276,Doxazosin 2mg tablets (Medreich Plc) Doxazosin mesilate 2mg Tablet Oral,02050400,07040150,null,null,CPRD_GOLD
46526,Raporsin XL 4mg tablets (Actavis UK Ltd) Doxazosin mesilate 4mg Modified-release tablet Oral,02050400,07040150,null,null,CPRD_GOLD
51685,Doxazosin 4mg tablets (Actavis UK Ltd) Doxazosin mesilate 4mg Tablet Oral,02050400,07040150,null,null,CPRD_GOLD
45342,Doxazosin 4mg tablets (Sandoz Ltd) Doxazosin mesilate 4mg Tablet Oral,02050400,07040000,null,null,CPRD_GOLD
65853,Doxazosin 1mg tablets (Mawdsley-Brooks & Company Ltd) Doxazosin mesilate 1mg Tablet Oral,02050400,07040150,null,null,CPRD_GOLD
61123,Doxazosin 4mg/5ml oral solution Doxazosin mesilate 800microgram/1ml Oral solution Oral,02050400,07040150,null,null,CPRD_GOLD
58325,Doxazosin 4mg tablets (Phoenix Healthcare Distribution Ltd) Doxazosin mesilate 4mg Tablet Oral,02050400,07040150,null,null,CPRD_GOLD
34553,Doxazosin 4mg tablets (Mylan) Doxazosin mesilate 4mg Tablet Oral,02050400,07040150,null,null,CPRD_GOLD
25487,Cascor 2mg tablets (Ranbaxy (UK) Ltd) Doxazosin mesilate 2mg Tablet Oral,02050400,07040000,null,null,CPRD_GOLD
65159,Doxazosin 4mg tablets (Waymade Healthcare Plc) Doxazosin mesilate 4mg Tablet Oral,02050400,07040150,null,null,CPRD_GOLD
19193,Doxazosin 2mg tablets (Teva UK Ltd) Doxazosin mesilate 2mg Tablet Oral,02050400,07040150,null,null,CPRD_GOLD
59209,Doxazosin 1mg tablets (Kent Pharmaceuticals Ltd) Doxazosin mesilate 1mg Tablet Oral,02050400,07040150,null,null,CPRD_GOLD
10088,Doxadura 4mg tablets (Dexcel-Pharma Ltd) Doxazosin mesilate 4mg Tablet Oral,02050400,07040150,null,null,CPRD_GOLD
59862,Doxazosin 4mg tablets (Dexcel-Pharma Ltd) Doxazosin mesilate 4mg Tablet Oral,02050400,07040150,null,null,CPRD_GOLD
50467,Doxazosin 2mg tablets (Alliance Healthcare (Distribution) Ltd) Doxazosin mesilate 2mg Tablet Oral,02050400,07040150,null,null,CPRD_GOLD
48150,Doxazosin 1mg tablets (Actavis UK Ltd) Doxazosin mesilate 1mg Tablet Oral,02050400,07040150,null,null,CPRD_GOLD
